NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s3-under-245-574b8b4b46-jb5px   1/1     Running   0          7s    10.244.0.164   ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-shlls   1/1     Running   0          7s    10.244.0.163   ip-172-31-1-245    <none>           <none>
s3-under-198-c45f6ffd9-2rvmx    1/1     Running   0          6s    10.244.5.84    ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-z9lkv    1/1     Running   0          6s    10.244.5.83    ip-172-31-16-198   <none>           <none>
s3-cpu-34-848456d98d-blgvq      1/1     Running   0          5s    10.244.7.92    ip-172-31-19-34    <none>           <none>
s3-cpu-34-848456d98d-nbw6t      1/1     Running   0          5s    10.244.7.93    ip-172-31-19-34    <none>           <none>
s3-cpu-39-694f845c9f-6ftgf      1/1     Running   0          4s    10.244.1.38    ip-172-31-3-39     <none>           <none>
s3-cpu-39-694f845c9f-74579      1/1     Running   0          4s    10.244.1.39    ip-172-31-3-39     <none>           <none>
s3-full-146-5bdc7c699-8jmjd     1/1     Running   0          3s    10.244.4.106   ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-sw7lm     1/1     Running   0          3s    10.244.4.107   ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-b9wqr    1/1     Running   0          2s    10.244.2.57    ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-sngqq    1/1     Running   0          2s    10.244.2.58    ip-172-31-6-144    <none>           <none>
