NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s3-under-245-574b8b4b46-w2w76   1/1     Running   0          8s    10.244.0.68    ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-xvcgb   1/1     Running   0          8s    10.244.0.69    ip-172-31-1-245    <none>           <none>
s3-under-198-c45f6ffd9-ffcjd    1/1     Running   0          7s    10.244.5.64    ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-p6qnb    1/1     Running   0          7s    10.244.5.63    ip-172-31-16-198   <none>           <none>
s3-cpu-34-848456d98d-n9gpp      1/1     Running   0          6s    10.244.7.124   ip-172-31-19-34    <none>           <none>
s3-cpu-34-848456d98d-pn4gr      1/1     Running   0          6s    10.244.7.125   ip-172-31-19-34    <none>           <none>
s3-cpu-39-694f845c9f-hfgb9      1/1     Running   0          4s    10.244.1.173   ip-172-31-3-39     <none>           <none>
s3-cpu-39-694f845c9f-lckcv      1/1     Running   0          4s    10.244.1.172   ip-172-31-3-39     <none>           <none>
s3-full-146-5bdc7c699-jpjj5     1/1     Running   0          3s    10.244.4.44    ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-sbphp     1/1     Running   0          3s    10.244.4.45    ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-pdnmm    1/1     Running   0          2s    10.244.2.159   ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-snrwg    1/1     Running   0          2s    10.244.2.160   ip-172-31-6-144    <none>           <none>
